
各层处理时间统计(ms):
层 4: 158.09ms (, 中间层: 95.20ms, 最终层: 62.89ms, %)
层 5: 130.43ms (, 中间层: 68.39ms, 最终层: 62.04ms, %)
层 6: 136.74ms (, 中间层: 73.71ms, 最终层: 63.03ms, %)
层 7: 148.03ms (, 中间层: 68.10ms, 最终层: 79.93ms, %)
层 8: 146.19ms (, 中间层: 68.93ms, 最终层: 77.26ms, %)
层 9: 135.48ms (, 中间层: 70.00ms, 最终层: 65.48ms, %)
层 10: 241.48ms (, 中间层: 174.66ms, 最终层: 66.82ms, %)
层 11: 135.16ms (, 中间层: 72.07ms, 最终层: 63.09ms, %)
层 12: 130.88ms (, 中间层: 71.30ms, 最终层: 59.58ms, %)
层 13: 141.54ms (, 中间层: 72.20ms, 最终层: 69.33ms, %)
层 14: 145.72ms (, 中间层: 83.82ms, 最终层: 61.90ms, %)
